# CVS $Revision: 12957 $ $Author: jbaril $ -- Tue Dec 10 13:08:21 2013 -- reformated by prettylst.pl v1.50 (build 21703)
SOURCELONG:Advanced Class Guide Playtest	SOURCESHORT:ACGP	SOURCEWEB:http://paizo.com/products/btpy92zi	SOURCEDATE:2013-12
# Original Entry by: Stefan Radermacher

# Class Name	Hit Dice	Type			Class Type		Abbreviation	Max Level	Source Page		Ability																		Define			Save checks bonus												Combat bonus					Monster Role
CLASS:Warpriest	HD:8		TYPE:Base.PC	CLASSTYPE:PC	ABB:Wrp		MAXLEVEL:20	SOURCEPAGE:p.48	ABILITY:Internal|AUTOMATIC|Class Skills ~ Warpriest|!PREABILITY:1,CATEGORY=Archetype,TYPE.WarpriestClassSkills	DEFINE:WarpriestLVL|CL	BONUS:CHECKS|BASE.Fortitude,BASE.Will|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3		BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE	ROLE:Combat.Cleric
# Class Name	Multiple Requirements
CLASS:Warpriest	PREMULT:1,[PRECLASS:1,Warpriest],[!PRECLASS:1,TYPE=Cleric,TYPE=Fighter]
# Class Name	Skill Pts/Lvl
CLASS:Warpriest	STARTSKILLPTS:2
# Class Name	Spell Stat		Spell Type		Automatically Known Spell Levels							Caster level				Use Spell List
CLASS:Warpriest	SPELLSTAT:WIS	SPELLTYPE:Divine	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6	BONUS:CASTERLEVEL|Warpriest|CL	SPELLLIST:1|Cleric
###Block:Proficiencies
1		BONUS:VAR|AlignmentAuraLVL|CL
1			ABILITY:Cleric Class Ability|VIRTUAL|Aura of Chaos|PREDEITYALIGN:CG,CN,CE
1			ABILITY:Cleric Class Ability|VIRTUAL|Aura of Evil|PREDEITYALIGN:LE,NE,CE
1			ABILITY:Cleric Class Ability|VIRTUAL|Aura of Good|PREDEITYALIGN:LG,NG,CG
1			ABILITY:Cleric Class Ability|VIRTUAL|Aura of Law|PREDEITYALIGN:LG,LN,LE
1			ABILITY:Warpriest Class Ability|AUTOMATIC|Weapon and Armor Proficiency ~ Warpriest
1			ABILITY:Warpriest Class Ability|AUTOMATIC|Orisons ~ Warpriest
1			ABILITY:Warpriest Class Ability|AUTOMATIC|Spontaneous Casting ~ Warpriest
1			ABILITY:Warpriest Class Ability|AUTOMATIC|Weapon Focus ~ Warpriest
1			ABILITY:Warpriest Class Ability|AUTOMATIC|Blessings ~ Warpriest
1			ABILITY:Warpriest Class Ability|AUTOMATIC|Sacred Weapon ~ Warpriest
2			ABILITY:Warpriest Class Ability|AUTOMATIC|Fervor ~ Warpriest
3			ABILITY:Warpriest Class Ability|AUTOMATIC|Bonus Feats ~ Warpriest
4			ABILITY:Warpriest Class Ability|AUTOMATIC|Channel Positive Energy ~ Warpriest
7			ABILITY:Warpriest Class Ability|AUTOMATIC|Sacred Armor ~ Warpriest

###Block: Spell Alignment Restrictions
1	PROHIBITSPELL:ALIGNMENT.Good|PREALIGN:LE,NE,CE		PROHIBITSPELL:ALIGNMENT.Good|PREALIGN:LE,NE,CE		PROHIBITSPELL:ALIGNMENT.Good|PREDEITYALIGN:LE,NE,CE		PROHIBITSPELL:ALIGNMENT.Good|PREDEITYALIGN:LE,NE,CE
1	PROHIBITSPELL:ALIGNMENT.Evil|PREALIGN:LG,NG,CG		PROHIBITSPELL:ALIGNMENT.Evil|PREALIGN:LG,NG,CG		PROHIBITSPELL:ALIGNMENT.Evil|PREDEITYALIGN:LG,NG,CG		PROHIBITSPELL:ALIGNMENT.Evil|PREDEITYALIGN:LG,NG,CG
1	PROHIBITSPELL:ALIGNMENT.Lawful|PREALIGN:CG,CN,CE	PROHIBITSPELL:ALIGNMENT.Lawful|PREALIGN:CG,CN,CE	PROHIBITSPELL:ALIGNMENT.Lawful|PREDEITYALIGN:CG,CN,CE		PROHIBITSPELL:ALIGNMENT.Lawful|PREDEITYALIGN:CG,CN,CE
1	PROHIBITSPELL:ALIGNMENT.Chaotic|PREALIGN:LG,LN,LE	PROHIBITSPELL:ALIGNMENT.Chaotic|PREALIGN:LG,LN,LE	PROHIBITSPELL:ALIGNMENT.Chaotic|PREDEITYALIGN:LG,LN,LE	PROHIBITSPELL:ALIGNMENT.Chaotic|PREDEITYALIGN:LG,LN,LE
###Block: Level Progression Abilities
###Block: Vars
###Block: Level progression
1	CAST:3,1
2	CAST:4,2
3	CAST:4,3
4	CAST:4,3,1
5	CAST:4,4,2
6	CAST:5,4,3
7	CAST:5,4,3,1
8	CAST:5,4,4,2
9	CAST:5,5,4,3
10	CAST:5,5,4,3,1
11	CAST:5,5,4,4,2
12	CAST:5,5,5,4,3
13	CAST:5,5,5,4,3,1
14	CAST:5,5,5,4,4,2
15	CAST:5,5,5,5,4,3
16	CAST:5,5,5,5,4,3,1
17	CAST:5,5,5,5,4,4,2
18	CAST:5,5,5,5,5,4,3
19	CAST:5,5,5,5,5,5,4
20	CAST:5,5,5,5,5,5,5


# Class Name	Type
CLASS:Cleric.MOD	TYPE:Cleric
# Class Name	Multiple Requirements
CLASS:Cleric.MOD	PREMULT:1,[PRECLASS:1,Cleric],[!PRECLASS:1,TYPE=Cleric]

# Class Name	Type
CLASS:Fighter.MOD	TYPE:Fighter
# Class Name	Multiple Requirements
CLASS:Fighter.MOD	PREMULT:1,[PRECLASS:1,Fighter],[!PRECLASS:1,TYPE=Fighter]

#
# End
#
